image_id,image_path,mode,alpha,alpha_eff,mask_mean,psnr,ssim,rec_psnr,rec_ssim,ncc,ber,qr_decoded,frob_predicted,frob_measured,psnr_predicted,weyl_bound_max,mirsky_bound_max
coco_000000002685,images/coco_000000002685.png,svd_texture,0.1,0.02844163845613237,0.20490709395702633,33.21305934702968,0.9962424540000411,22.842984903305826,0.9677688859012554,0.9991733144561332,3.814697265625e-06,1,5340.89196601843,4939.895950321221,32.53513950983689,2693.2386828737663,3083.5654142934477
coco_000000002685,images/coco_000000002685.png,svd_yolo,0.001,0.0009069668004756041,0.8966297783062268,62.24427459262532,0.9998706428748467,2.492621079023068,0.27240221860102704,0.34248627320339686,0.665130615234375,0,170.3140874101494,174.6453549339346,62.46240393916338,85.88387321253211,98.33088421303512
coco_000000002685,images/coco_000000002685.png,svd_yolo,0.005,0.00453483400237802,0.8966297783062268,51.8427141640234,0.9996956929482207,8.536297474432766,0.7523417730368459,0.9490534022295527,0.22064971923828125,1,851.5704370507468,578.409024825858,48.483003852443005,429.4193660626605,491.65442106517554
coco_000000002685,images/coco_000000002685.png,svd_yolo,0.01,0.00906966800475604,0.8966297783062268,44.33292428666489,0.9993790747890247,14.331851538376403,0.9015475688166505,0.9911615441597679,1.9073486328125e-05,1,1703.1408741014936,1373.1707832604072,42.46240393916338,858.838732125321,983.3088421303511
coco_000000002685,images/coco_000000002685.png,svd_yolo,0.02,0.01813933600951208,0.8966297783062268,37.44039162158649,0.9982661294962898,19.7581995468213,0.9549176188359612,0.9981478321984057,3.814697265625e-06,1,3406.2817482029873,3036.3455007623884,36.441804025883755,1717.677464250642,1966.6176842607022
coco_000000002685,images/coco_000000002685.png,svd_yolo,0.05,0.04534834002378021,0.8966297783062268,28.970133760433512,0.9909607124310833,25.19817104401468,0.9694412148894864,0.9994890899641893,7.62939453125e-06,1,8515.70437050747,8051.26424855128,28.483003852443,4294.193660626605,4916.544210651756
coco_000000002685,images/coco_000000002685.png,svd_yolo,0.1,0.09069668004756042,0.8966297783062268,22.947366177088906,0.9660189039237571,24.21754333603149,0.8993974938455321,0.9985844950219513,2.288818359375e-05,1,17031.40874101494,16106.547581651383,22.462403939163377,8588.38732125321,9833.088421303511
coco_000000002923,images/coco_000000002923.png,svd_only,0.001,0.001,1.0,62.530441642526775,0.9999525636648307,2.9285516924431643,0.33062202008756736,0.46362774015926017,0.6814651489257812,0,187.78425772678605,168.98520645310938,61.61423173914949,94.69351377304604,108.41729174813389
coco_000000002923,images/coco_000000002923.png,svd_only,0.005,0.005,1.0,50.61637427039682,0.9993929831842724,8.89867379028712,0.7766240368152669,0.9357339970137133,0.2185516357421875,1,938.9212886339302,666.1193586738041,47.63483165242911,473.46756886523013,542.0864587406695
coco_000000002923,images/coco_000000002923.png,svd_only,0.01,0.01,1.0,43.52607215930756,0.998799516614762,14.177899956162115,0.8922956065222669,0.9941452718065524,6.4849853515625e-05,1,1877.8425772678604,1506.8400711422562,41.61423173914949,946.9351377304603,1084.172917481339
